,cntry,leto,essround,odgovor,tvtot,rdtot,nwsptot,netuse
0,BE,2002,1,0,54,313,746,623
1,BE,2002,1,1,112,300,487,444
2,BE,2002,1,2,317,312,471,44
3,BE,2002,1,3,273,147,108,43
4,BE,2002,1,4,312,106,43,82
5,BE,2002,1,5,249,104,14,88
6,BE,2002,1,6,215,56,11,228
7,BE,2002,1,7,363,559,13,344
8,BE,2004,2,0,47,353,821,584
9,BE,2004,2,1,108,291,421,273
10,BE,2004,2,2,242,234,335,39
11,BE,2004,2,3,225,130,128,31
12,BE,2004,2,4,287,90,42,70
13,BE,2004,2,5,239,68,21,95
14,BE,2004,2,6,210,52,5,223
15,BE,2004,2,7,420,552,3,461
16,BE,2006,3,0,47,280,732,477
17,BE,2006,3,1,93,308,463,234
18,BE,2006,3,2,249,258,397,37
19,BE,2006,3,3,272,158,147,31
20,BE,2006,3,4,295,92,29,55
21,BE,2006,3,5,282,75,14,87
22,BE,2006,3,6,187,61,6,254
23,BE,2006,3,7,373,565,10,623
24,BE,2008,4,0,57,334,747,415
25,BE,2008,4,1,96,288,420,178
26,BE,2008,4,2,213,261,391,25
27,BE,2008,4,3,277,153,127,24
28,BE,2008,4,4,280,90,38,61
29,BE,2008,4,5,278,72,21,74
30,BE,2008,4,6,197,49,5,247
31,BE,2008,4,7,362,512,11,731
32,BE,2010,5,0,47,294,726,271
33,BE,2010,5,1,79,266,398,170
34,BE,2010,5,2,243,281,363,20
35,BE,2010,5,3,279,138,135,18
36,BE,2010,5,4,269,83,42,47
37,BE,2010,5,5,256,77,22,81
38,BE,2010,5,6,189,48,7,249
39,BE,2010,5,7,342,517,11,848
40,FI,2002,1,0,59,310,147,481
41,FI,2002,1,1,104,423,744,397
42,FI,2002,1,2,350,343,795,81
43,FI,2002,1,3,402,160,195,83
44,FI,2002,1,4,360,114,76,122
45,FI,2002,1,5,270,100,28,164
46,FI,2002,1,6,178,77,8,296
47,FI,2002,1,7,276,473,7,376
48,FI,2004,2,0,63,402,138,408
49,FI,2004,2,1,105,435,684,359
50,FI,2004,2,2,357,372,865,67
51,FI,2004,2,3,365,147,215,70
52,FI,2004,2,4,381,115,66,110
53,FI,2004,2,5,297,98,35,140
54,FI,2004,2,6,173,62,9,302
55,FI,2004,2,7,280,391,10,566
56,FI,2006,3,0,72,379,126,326
57,FI,2006,3,1,90,425,675,289
58,FI,2006,3,2,345,352,775,35
59,FI,2006,3,3,339,133,187,32
60,FI,2006,3,4,347,90,74,54
61,FI,2006,3,5,272,83,40,112
62,FI,2006,3,6,155,61,9,314
63,FI,2006,3,7,275,372,9,733
64,FI,2008,4,0,115,461,171,264
65,FI,2008,4,1,142,531,779,301
66,FI,2008,4,2,410,397,876,32
67,FI,2008,4,3,352,121,208,30
68,FI,2008,4,4,407,123,93,58
69,FI,2008,4,5,294,74,45,131
70,FI,2008,4,6,202,44,17,363
71,FI,2008,4,7,273,444,6,1016
72,FI,2010,5,0,132,426,184,237
73,FI,2010,5,1,103,408,686,205
74,FI,2010,5,2,323,356,708,31
75,FI,2010,5,3,323,116,177,28
76,FI,2010,5,4,303,95,79,50
77,FI,2010,5,5,266,83,29,78
78,FI,2010,5,6,148,43,5,237
79,FI,2010,5,7,280,350,10,1012
80,HU,2002,1,0,59,327,350,903
81,HU,2002,1,1,84,229,624,447
82,HU,2002,1,2,273,271,468,29
83,HU,2002,1,3,124,66,105,27
84,HU,2002,1,4,423,131,71,34
85,HU,2002,1,5,116,26,14,54
86,HU,2002,1,6,247,110,29,89
87,HU,2002,1,7,358,522,22,96
88,HU,2004,2,0,53,294,311,677
89,HU,2004,2,1,83,228,572,369
90,HU,2004,2,2,267,233,425,30
91,HU,2004,2,3,143,77,91,20
92,HU,2004,2,4,359,129,57,50
93,HU,2004,2,5,107,29,9,44
94,HU,2004,2,6,175,79,15,128
95,HU,2004,2,7,310,427,17,180
96,HU,2006,3,0,33,344,355,1028
97,HU,2006,3,1,94,237,624,67
98,HU,2006,3,2,230,236,407,36
99,HU,2006,3,3,140,69,58,22
100,HU,2006,3,4,349,145,48,34
101,HU,2006,3,5,126,41,10,32
102,HU,2006,3,6,226,84,11,91
103,HU,2006,3,7,320,359,5,204
104,HU,2008,4,0,29,412,434,712
105,HU,2008,4,1,84,234,592,76
106,HU,2008,4,2,216,246,362,31
107,HU,2008,4,3,155,75,69,15
108,HU,2008,4,4,361,136,42,30
109,HU,2008,4,5,116,38,12,45
110,HU,2008,4,6,236,63,18,190
111,HU,2008,4,7,347,338,15,443
112,HU,2010,5,0,58,471,456,609
113,HU,2010,5,1,80,234,603,81
114,HU,2010,5,2,263,234,354,32
115,HU,2010,5,3,158,64,65,15
116,HU,2010,5,4,333,114,54,43
117,HU,2010,5,5,128,32,7,41
118,HU,2010,5,6,220,66,8,164
119,HU,2010,5,7,321,341,14,572
120,IE,2002,1,0,23,138,260,689
121,IE,2002,1,1,66,219,590,525
122,IE,2002,1,2,236,303,610,73
123,IE,2002,1,3,247,251,272,51
124,IE,2002,1,4,363,199,103,76
125,IE,2002,1,5,285,170,67,118
126,IE,2002,1,6,318,173,38,242
127,IE,2002,1,7,482,571,79,267
128,IE,2004,2,0,41,168,300,804
129,IE,2004,2,1,76,260,606,474
130,IE,2004,2,2,255,309,625,67
131,IE,2004,2,3,279,271,334,59
132,IE,2004,2,4,359,196,189,90
133,IE,2004,2,5,338,195,72,141
134,IE,2004,2,6,363,188,53,266
135,IE,2004,2,7,566,678,86,379
136,IE,2006,3,0,44,189,306,496
137,IE,2006,3,1,83,205,518,344
138,IE,2006,3,2,244,272,534,60
